,Country,BusVisa,TourVisa
211,Ukraine,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
212,United Arab Emirates,Business: Visa must be obtained on arrival. ,Tourist: Visa must be obtained on arrival. 
213,United Kingdom,Business: No visa is required for a stay of up to six months ,Tourist: No visa is required for a stay of up to six months
214,Uruguay,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
215,Uzbekistan,Business: Visa Required ,Tourist: Visa Required 
216,Vanuatu,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility"
217,Venezuela,Business: Visa Required ,Tourist: Visa Required 
218,Vietnam,Business: Visa Required ,Tourist: Visa Required 
219,Western Samoa,Business: Visa Required ,Tourist: Visa Required 
220,Yemen,Business: Visa Required ,Tourist: Visa Required 
221,Zambia,Business: Visa Required ,Tourist: 
222,Zimbabwe,Business: Visa Required ,Tourist: Visa Required 
